username,rating,comment,max_players,minplaytime,maxplaytime,age,ratings_avg,count_wanting,count_wishing,lang
AdioRadley,9.0,"Has a bit of a long setup, but it's an easy and fun game with a lot of light-hearted risk-taking.",4,45,45,10,7.81125,1260,12230,en
adir,7.5,"Nice fun push your luck, with some variability. A bit simplistic.",4,45,45,10,7.81125,1260,12230,en
adi_venturer,7.0,"This game is fun, it's a classic, but it has some major design flaws - the main one being that once you establish an early lead, it's impossible to catch up. It's good that plays are only 40-45 minutes long, otherwise this game would become annoying.

(Plays: 1)",4,45,45,10,7.81125,1260,12230,en
AdlerCiv,,Sleeved with Arcane Tinmen - Medium - 24 cards,4,45,45,10,7.81125,1260,12230,en
Admiral Fisher,5.0,"It's playable and ok, but as a push-your-luck it's way over-chromed. It seems to be very, very ""in"" to have layers and layers of stuff in games these days, but I just simply ask myself, do I get more out of this than Liar's Dice or Can't Stop? - and the answer is no.
Why on earth games like this get into the top 100 games is utterly beyond me.  It simply is way inferior to hundreds of games beneath it.  Emperor's New Clothes again coupled with the trend for lots of bits.",4,45,45,10,7.81125,1260,12230,en
admiral142,7.0,"Includes all geek up bits and bags, and Herb Witches expansion.",4,45,45,10,7.81125,1260,12230,en
AdmiralSnackbar,8.0,my first real foray into modern day board gaming.  I love the push your luck element in this game,4,45,45,10,7.81125,1260,12230,en
aDogNamedPotato,,"Game about making potions. tiles in a bag, SU&SD recommended, looks like a lot of fun. 

Game for game night with Maia, Jay and us",4,45,45,10,7.81125,1260,12230,en
adrianlemess,,"2 - 4 players
Deutsch / Almost language free",4,45,45,10,7.81125,1260,12230,de
adrianliew93,8.0,"A great push your luck game, the first few times i played were so much stress because i was too serious of it, and it took out most of the fun. 
I realized that and i play with a casual and funny way thereafter, totally different experience, so much fun despite getting cherry bombs.",4,45,45,10,7.81125,1260,12230,en
adriann1410,,card / random / deck building,4,45,45,10,7.81125,1260,12230,es
Advocator,7.0,More or less multiplayer solitaire push-your-luck. But it's oddly fun!,4,45,45,10,7.81125,1260,12230,en
Adwak1,8.0,"Fun, everyone plays at the same time. Easy to learn and the rat mechanism keeps everyone in the running to win the game. Not too much strategy, just really press your luck. Great filler or gateway game for your unsuspecting friends.",4,45,45,10,7.81125,1260,12230,en
adwodon,7.5,"Fun game, pushing your luck as you try to brew the fanciest potion.

For every bad round there should be a good round, as with 9 rounds total things should end up being a good mix.  That being said it can be a little deflating when you've built up this great bag only to have it fall on its ass in the final 2 rounds.

Quick enough to pick it back up and start again though!  A fun social experience too with the right crowd, despite being very solitaire.",4,45,45,10,7.81125,1260,12230,en
Adyboy1,9.0,Very good push your luck game! I love it!,4,45,45,10,7.81125,1260,12230,en
aegerman,7.0,"An enjoyable experience, but only once in a while. Too luck based and can be really savage if you have spent time the whole game building up your bag only to have a horrible final round and explode early on. Nice if you know what you're getting into, can't really take it too seriously or you're likely to be disappointed. But fresh design for sure, can't think of anything quite like it.",4,45,45,10,7.81125,1260,12230,en
aelfin,,With coin capsules & foam insert,4,45,45,10,7.81125,1260,12230,en
aeroguru1978,7.0,"A fun little push-your-luck bag builder.  Kids seem to really like this one, and the mechanics are simple.  You blind draw 'magical ingredients' from a bag to fill a cauldron, with a goal of not pulling too many charry bombs (the values of which, if they exceed seven, will cause the potion to explode).  Good for teaching probability concepts, though kids can never seem to resist pulling 'just one more' ingredient several more times until their cauldron explodes.  

Lots of variety out of the box, with the ability to use different sets of books to alter the effects of other in game ingredients (for example, one set might encourage the collection of a larger amount of pumpkins, normally the lowest value ingredient, to maximize the impact of a later drawn toadstool).  

Because it is blind drawing, while you can try to maximize probabilities in your favor, sometimes you are just going to get a bad draw and there isn't much you can do about it (there are minor mitigating options, such as earning rubies to refill a flask that allows a cherry bomb to be returned to the bag when drawn if that bomb didn't cause the cauldron to explode; or in certain variations mandrakes, if drawn at the appropriate time, can also remove cherry bombs).  But, given that it isn't a grand strategy game and it plays quickly, this really isn't that big of a deal. 

There is a nice little catch up mechanic with the rat-tails that helps you feel like you are never entirely out of the game.",4,45,45,10,7.81125,1260,12230,en
AerynSpaceFamily,,New Ed out,4,45,45,10,7.81125,1260,12230,en
aethy,10.0,"Best push-your-luck game.

Normally I'm not a fan of push-your-luck games, but together with the building aspect, this one really nails it.",4,45,45,10,7.81125,1260,12230,en
Aexryu,,"2–4 Players, best at 4",4,45,45,10,7.81125,1260,12230,da
afafard,5.0,"Initially seemed like an interesting Push Your Luck 
But the more I play the less I enjoy.
Strategy options are few and straightforward.
It also has a big runaway leader/snowball problem (rat tails do not address the issue).  Whoever is in the lead after the second turn will win the game unless he/she does something stupid.

I understand why people like it but I got tired quickly.",4,45,45,10,7.81125,1260,12230,en
AferimCarabin,8.2,"20/03/2025 collection update

insert
",4,45,45,10,7.81125,1260,12230,de
AFO_0,,5-2 jugadores,4,45,45,10,7.81125,1260,12230,gl
afreeman134,,With the witches expansion,4,45,45,10,7.81125,1260,12230,en
afroakuma,,Sneakily strategic and instantly engaging. Tons of replay value.,4,45,45,10,7.81125,1260,12230,en
Afrochiapet,7.0,"A colorful and light push-your-luck game that has been a good table ice-breaker. Players throw random components together from their growing bag of ingredients to brew the best potion. It's a fun experience to tempt the fates which each pull from your grab bag, either furthering your point total or blowing up in your face.

The game mechanics are built so that every player has a fighting chance to remain in the game despite any misfortune. Additionally, the variations for the different ingredients add some incentive for replays. Quacks is not my preferred style of game, but I find it an easy sell for those wanting a low stress experience. It is silly fun that is hard to get overly competitive or mad about. ",4,45,45,10,7.81125,1260,12230,en
afterthegame,,Warsaw,4,45,45,10,7.81125,1260,12230,en
username,rating,comment,max_players,minplaytime,maxplaytime,age,ratings_avg,count_wanting,count_wishing,en
AerynSpaceFamily,,"New Ed, Art, space saver? ",5,45,45,10,6.71667,32,210,en
BitVenom,9.0,"A well worn and reliable game in this household, this new edition is just so clean - love the minor tweaks!",5,45,45,10,6.71667,32,210,en
Brandizzle,6.0,"I went online and bought this the moment I learned about it. The original Quacks was a 7 to me, but gets played a lot because I know new players will love it. A deluxe version with more attractive art could only improve the experience.
Their video says the pieces are ""bakelite-style"" pieces, which brings to mind the geekup bits. But these are lighter in the hand, and there are little sharp nubs out the side where the sprue was attached. Not dangerous-sharp, just not-satisfying-to-hold-sharp. Also, the player bags are massive. They take up so much space on the table, we were not sure what to do with them.
Last, there is at least one misprint that we have noticed so far, which you really hate to see on a premium edition of a game that has been out for years.",5,45,45,10,6.71667,32,210,en
Coralouwho,,SEE MEGA BOX - https://boardgamegeek.com/boardgame/349955/quacks-quedlinburg-megabox/mygames/collection,5,45,45,10,6.71667,32,210,en
DJ_Tsaladi_Tjatekok,,"Mi a retek.. Már azon kívül, hogy kicseng.",5,45,45,10,6.71667,32,210,hu
Dopeski,10.0,Imagine giving a 1 to a game because you dislike the art,5,45,45,10,6.71667,32,210,en
farsidehobbes,8.0,"Main comments recorded under Quacks.  Plays may be recorded across versions (base game and original expansions).

I really like the new art style as it appeals to my family more.",5,45,45,10,6.71667,32,210,en
Innsbruck,,"Player Count: 2 to 5
[microbadge=13740] Competitive Game: One player wins alone.

Designed by Wolfgang Warsch.",5,45,45,10,6.71667,32,210,en
Jsheebz,1.0,"Game is great. This new art just doesn't fit. Not that the new art is bad, but the original art is better.",5,45,45,10,6.71667,32,210,en
K0brax,,"2-5 Players
45 Min
",5,45,45,10,6.71667,32,210,en
mingoo,9.0,백빌딩 게임은 프리미엄 토큰이 필요합니다.,5,45,45,10,6.71667,32,210,ko
OurMrMajestyk,9.0,Just one of those perfect games that knows exactly what it is and executes it perfectly. Push your luck at it's best. Tons of variation in the base game alone that then skyrockets when you throw in the expansions. The new edition is beautiful and a bargain considering all you get.  ,5,45,45,10,6.71667,32,210,en
photofool83,10.0,Beautiful new design for one of my favorite games! Love the art style!!,5,45,45,10,6.71667,32,210,en
Scuzball,8.0,New artstyle is a huge improvement,5,45,45,10,6.71667,32,210,en
sykano,1.0,horrible remake,5,45,45,10,6.71667,32,210,en
thearkhammonk,10.0,"We live in a world, where we give poor ratings because we don't like art. It's maybe understandable if the art is stolen, or AI, but they've been very clear that it's neither in this case.  Show me on this box where the art hurt your feelings.",5,45,45,10,6.71667,32,210,en
TwentySides,9.0,A game whose visual design finally matches how silly and fun the game is.,5,45,45,10,6.71667,32,210,en
Vampyur,1.0,Awful regressive art redesign is a huge fail.,5,45,45,10,6.71667,32,210,en
wayne_1252,1.0,"Is it because I can't keep up with the times, or is everyone's aesthetic too advanced?",5,45,45,10,6.71667,32,210,en
Xantera,10.0,Review bombers fuck off,5,45,45,10,6.71667,32,210,en
zachhannibal,9.5,"This updated CMYK version gives players the entire Quacks package, complete with beautiful and quirky artwork that the light-hearted push-your-luck gameplay demands. This cozy new package elevates the entire experience, nearing perfection. Exploding potions never looked so good. 9.5/10",5,45,45,10,6.71667,32,210,en
username,rating,comment,max_players,minplaytime,maxplaytime,age,ratings_avg,count_wanting,count_wishing,en
1arska,9.2,"Fantastic game with solar system board with planet orbits and much more. Seems really potential for my personal GOTY 2024 because of its many possibilites of strategy, depth and clear rules.",4,40,160,14,8.38008,690,6872,en
2bit,5.0,"Lovely production, clever game with a great central rondel mechanism.

But the kitchen sink has been thrown at it, so it's not for us.  After 90 minutes of rules explanation what we didn't want were two more occasions when the play is interrupted to reveal yet more rules and complications to an already complicated game.",4,40,160,14,8.38008,690,6872,en
Aahz74,4.0,Don’t care for it. Resources are far too tight. Lots of good ideas but it’s not a lot of fun when you can’t do much in a turn.,4,40,160,14,8.38008,690,6872,en
Aaron_Dangerman,7.0,"High complexity game with very little depth to back it up. The theme is really cool and the mechanic of the orbiting solar system is awesome! If the scanning action and blue data techs were removed, this would be a less busy and an overall better game in my eyes.",4,40,160,14,8.38008,690,6872,en
adambjones,,"Looks cool,",4,40,160,14,8.38008,690,6872,en
adamscott,6.0,"It was decently fun, but I wasn't crazy about it.  It's got lots of comboing and Euro goodness in there.  Game wasn't too hard to learn and I felt like I knew what I was doing by the second round, even though there is a lot of iconography and lots of rules to digest.

I don't love massive decks of unique cards as a main mechanic that every hot new game seems to have these days.  I'd play it again for sure, but it's a little long and a little more luck-based/tactical than I prefer.  It's also VERY multiplayer solitaire, which I used to love, but am starting move away from a bit.

The only bad part was the aliens...stopping mid-game to learn more rules.

Once again, my tastes are diverging from the mainstream.",4,40,160,14,8.38008,690,6872,en
adamw,8.5,Initial play revealed nice thematic integration and fun decision making. There's also a large stack of cards to explore and the simple variety of aliens discovered also lends to replay. The play is a bit uneven as you can continue with free actions for as long as you can - so plays will run long. Feels quite unique with the rotating board and thematic actions. It's really good! I need to play again as the rating might go highter.,4,40,160,14,8.38008,690,6872,en
adBenturer,7.0,"Fun euro with a nice theme. I really like the mid-game reveal and I'm sure new aliens will get released as expansions.
Negatives are that it takes too long (also since it can sometimes be difficult to plan your turn while others are going since the game-state can change) and that there is definitely a snowball effect which can happen in the game.",4,40,160,14,8.38008,690,6872,en
adrh,,x,4,40,160,14,8.38008,690,6872,en
aduka,,11 dec 2024,4,40,160,14,8.38008,690,6872,fr
AferimCarabin,9.5,"20/03/2025 collection update
#top
@Cristi",4,40,160,14,8.38008,690,6872,de
AfrikaKorps14,8.0,"Saw it at convention, but unable to play due to (a) time constraints and (b) too much noise in room.  Looked impressive on the table, picked up at FLGS later.  First play with 2P was a real romp, as we goofed up a couple essential rules which made the game harder than necessary.  Looking forward to another play soon.  Can understand threads regarding 2P games, but unable to comment without more testing.",4,40,160,14,8.38008,690,6872,en
Againsto,7.0,"That was fun. Well-integrated Euro with good implementation of the whole traveling-the-solar-system challenge. Still didn't particularly *feell* like Aliens and space-travel, but still a competent design.",4,40,160,14,8.38008,690,6872,en
AgentStone,9.0,"Simple actions, complicated combos, great game. I feel it thematic and always fresh. Many good ideas like the multi-use cards which can be discarded from the pool refreshing it, or to chose yourself the game-end scoring. And, of course, the always rotating solar system. I want to play it many times!",4,40,160,14,8.38008,690,6872,en
agent_twilight,7.0,"Pros:
- the game is beautiful! I love the colours, theme, and high-quality pieces. It is quite thematic looking.

- I love that there are many different ways to get points and win.

- I love that some turns you can take many, many actions due to the free actions.

Cons:

- It feels like you are just collecting points and it doesn't require too much thought (definitely more tactical than strategic). I know many games you are essentially just collecting points, but generally there will be mechanics that make it less obvious and/or more fun.

- I haven't tried all of the aliens yet, but the 3/5 that I did were meh...I feel you could ignore them easily. Edit: have now played all the aliens. Opinion is the same.

This game would benefit from having more of an engine and to make the aliens more interesting. Perhaps an expansion could improve this, especially the engine part or some mechanic to make things feel less ""point grabby"".",4,40,160,14,8.38008,690,6872,en
AgileG,7.0,This game is amazing! I had so much fun playing it. Every session offers a unique twist.,4,40,160,14,8.38008,690,6872,en
aidolon,,"1 - 4 Players
Board
",4,40,160,14,8.38008,690,6872,en
ajewo,,"Euro game about space exploration.

+ Components and production.
+ 2 of 5 Aliens in a game, each changes the rules (adds mini games).
# Point salad.
# Big deck of unique cards.
# More tactical (opportunistic) game than strategic.
# Table hog.
- Does not scale well with two players (too much unused space).",4,40,160,14,8.38008,690,6872,en
Aladin1k1,,Strategy,4,40,160,14,8.38008,690,6872,hu
Alb20,,10,4,40,160,14,8.38008,690,6872,en
alexlyf,,"Best No. Player: 3, 2",4,40,160,14,8.38008,690,6872,en
Alfdis,,The gift from my 2024 BGG Secret Santa,4,40,160,14,8.38008,690,6872,en
alohagamer,7.5,"Enjoyed my first play, and expect the rating to go higher after a few more plays.",4,40,160,14,8.38008,690,6872,en
alzsara,8.0,"It has lots of things I love in a game - inviting theme, navigating an ever-changing board, lots of cards to lean into, tight resources, a wealth of options on how to go about things. It boils down to two major thrusts – launch probes and travel out to planets for VPs and effects, or ‘scan’ to win area majorities in space sectors for VPs and effects. Twice midway through the game it stops while you learn new alien rules (new ways to earn VPs and cards) but it's a two-edged sword - thematically immersive to discover aliens, sure, but learning new rules mid-game breaks immersion (euro, euro, euro, break for narrative, back to euro). Your strategy (and cards) drives how fast to push for tech advances and in what order. This should be enough to differentiate your games. It has the Terraforming Mars model of a round being as long as it takes to spend all your resources but nearly all your turns affect other players on the map so there’s no ‘just play out’, even though you’ve got your next 4 turns planned. And turns get longer as the game goes on due to the high number of free actions available as you collect more cards and energy – it was 3+ hours for 4p. Having said all that, it was good to have all these options and I’m keen to play again - I can live with the downsides given the upsides are so good.",4,40,160,14,8.38008,690,6872,en
