Username,Rating,Comment
4Corners,8,"A unique game that looks like Ameritrash but plays like a euro, set in a parallel universe where different nations are fighting for supremacy and/or busily doing their own thing producing goods, building etc (hence the term scythe and its dual purpose). The goal is to have the most money at the end of the game, and the end game is triggered by the player who first completes 6 conditions (signified by placing a star on the conditions).   You start the game with a leader of a nation who has a unique ability and a somewhat unique set of mechs (these are the advanced technological machines of war) as well as a random player board, each of which has the same actions, but the pairing of the top and bottom actions, as well as the costs/payouts of the bottom actions are each slightly different.  On your turn, you select one of the action columns, doing the top first, then the bottom (although you often won’t have the resources to pay for the bottom action), and you cannot do the same action column two turns in a row.   The top actions are: 1) gain power or combat cards (power is a currency that you can spend when in combat, and it’s also a star condition, and power cards are another currency that you can spend, more situationally, in combat), 2) movement (very important as you want to spread out on the shared map as there are several different regions for producing goods, there are random but good events that you can benefit from if you use your leader, and there is the central factory where you can gain a powerful extra action slot if you use your leader) or gain money (you can gain 1 or up 2 dollars (all basic abilities can be upgraded, more on that later), 3) produce (your workers will produce 1 good per worker on that hex, this is the main, but only, way to generate resources, as well as more workers (which is a start condition), but the drawback is the more workers you have producing, you get penalized each production (loss of power, money, popularity), 4) trade (pay 1 money for any 2 goods, a nice way to get those resources you really need but don't have access to), or popularity (pay 1 money for 1 (or 2 if upgraded) popularity- popularity is very important as its a star condition if you get high enough, but more importantly, it's a multiplier for your end game board position).  The bottom actions, which always cost resources, and generally pay out money after completing, are: 1) upgrade (a double benefit as you unlock/improve a top action ability, while decreasing the cost of a bottom action ability, and also a star condition for completing all upgrades), 2) construct a mech (you have 4 mechs, each with their own power that once built, applies to all of your plastic pieces (all your mechs and your leader), as well mechs and leaders can participate in combats), 2 of which if successfully won can get you stars, 3) build a building (each building has an ability, provides ownership of a hex, and is a star condition, and as well each game there is a bonus criteria for building certain patterns of buildings on the board), 4) enlist (you can receive a bonus each time you and/or your neighbor takes that particular bottom action for the rest of the game, also a star condition for completing all enlists).  The game end is immediately triggered once a player has achieved their 6th star; at this point endgame scoring provides money (to be added to the money you already have on hand, which could be significant) for each star you achieved, each hex you control (only your worker, leader, mech, and/or building on a hex), and each pair of resources you have left over (in descending order, as stars are more valuable than hexes etc); the caveat is that you get awarded coins based on your popularity, the more popularity, the better your endgame multiplier.  I was initially not interested in/dismissed this game, and as a result I missed the kickstarter.  Stupid me.  I ended up running around and eventually got everything, and I mean everything for the game.  I originally though it was pretty cool, then I thought it was too random, now with many more plays, I definitely appreciate the game and enjoy playing it.  Great components, art, design, lots of ways to play it, nice asymmetry, very fun.  This is one of my 10 year old's favourite games.  There are 3 major expansions, as well as some minor ones.  I think it's all worth getting, but the major expansions are excellent and must have, Invaders from Afar and especially Fenris are top notch.    Own the [boardgame=199727]Invaders From Afar[/boardgame],  [boardgame=223555] Wind Gambit[/boardgame],  [boardgame=242277]Rise of Fenris[/boardgame], [boardgame=262151]Encounters[/boardgame] and the [boardgame=279304]Modular Board[/boardgame] expansions."
4l3xCh4rt,10,Version FR
4ndrewcol3,8,"Good meaty game.  Well designed.  Artwork, components and world-building is superb.  Not as fun as other strategy games of the same depth for me."
4ndroid,9,Not 4 SALE
4wallz,10,Amazing game.  Very thinky.  So much strategy.  Not for the faint of heart but so much enjoyment to be had if you stick with it!
50mm,9,I personally adore Scythe. It has an easy learning curve with a lot of depth.
5487BAGADES,10,ciygyg8yhp9iup9uop;ol
7thDRXN,N/A,Area Control
832SPS,N/A,SF
9snick4,N/A,Brother bought it 
A skinned math nerd,5,"A 5 might be a bit harsh, usually I'd give this game for the experience that I had a 6.  This rating isn't because of a devastating loss, I actually won my first and only play of it. But it became pretty clear that this game has a runaway leader problem, which probably has to be balanced out by the other players having to unite against the leading player. That the game manual requests that people refrain from actually keeping count of who is ahead in points and how many points are to be gained by an action doesn't help, it seems like it just wants to mask this issue. In our case, it was a little race at the beginning, but the game was pretty much decided after three or four turns, and this in part to the initial setup and the very first random encounter. After half of the game, we could have stopped, the outcome was clear and there was no possibility at all that I could see for the other player to get back into the game, without having done anything wrong himself when playing the game. The unbalanced secret goal cards probably added to this: While one of mine was a breeze to accomplish, both of the other player were rather hard to fulfill.  The game is definitely playable, as in: the game mechanics are working together, but they don't complement each other well enough. When looking under the hood, leaving all that bling (the opulent visuals of the game) behind, the mechanics seem to be tackered together so that there is just some variation and choice for a change of the game state when playing. Despite it seeming very complex at start and when looking at it on the table, there is actually very little ""game"" to be found in this one.  In hindsight, the game hints at being deep and immersive, but actually there isn't much to it. The only good thing about this is, it's actually quite easy to teach. If you want a game that is designed a lot better with a gameplay similar to this one, then I'd recommend to get Eclipse or Terra Mystica, for example. Skip this one instead."
A0D1MQ,N/A,Nie grałem
A1ain,8.8,"Preparación y Explicación: 0.6 / 1 Duración Ideal: 1.7 / 2 Temática y Arte: 1 / 1 Diseño y Componentes: 1 / 1 Mecánica y Jugabilidad: 1.7 / 2 Disfrute: 2.8 / 3 TOTAL: 8.8  Tiempo de juego: 3 horas Complejidad: Media Alta Rejugabilidad: Alta Núm. Jugadores Ideal: 3 y 4  + Minis pintadas, Micas y Guía + Tokens realistas Stonemaier + Scythe Invaders from Afar + Scythe The Rise of Fenris + Scythe The Wind Gambit"
A1ucard,6,"I respect its efficiency puzzle. But I think the first several turns being pretty repetitive solitaire. The player interaction is there in spirit, but mostly non-existent because of the cost of combat.  A little overhyped in my opinion."
a2b2c517,6,feel like solve own puzzle board. Good little 4X filler.
A5AX,10,One of the best board games ever made
aaaaa142857,1,A hybrid failure.
AAAlone,7,"Reserving rating until after a few more plays with higher player count.  Was fun with two, but not much interaction."
aadorian,9,"Very unique, great art, great length but Im not sure how replayable it will get when I hit 10 plays, might have to get an expansion"
aagha,N/A,Recommended by PH
aaj94,6,"What Scythe does, it does extremely well. This is a euro-game that has been optimized to its logical conclusion -- and I like it. All of the fiddliness of something like [thing=177736][/thing] or even Terra Mystica has been stripped away, and you're left with a very appetizing core.   I've enjoyed my plays so far, and would relish some additional time in this universe. Given time, Scythe could bump quite high up the list of my favorite euro-games, but I haven't played enough to draw that conclusion just yet."
AAkkuu,N/A,played steam
aalotr13,3,"Great components, but my wife and I did not enjoy it"
AaltimusPrime,9,Fantastic artwork and component quality. Really in depth gameplay.
AAraKKe,9,Kickstarter version with metal coins
aaron182,9,What a great game.  Great player powers and lots of ways to win and don't necessarily have to attack other players.  Great solo mode as well.  So fun and intuitive and gets easier with each play.  Iconography is easily understood.  So many good expansions as well especially the campaign.  Love it!
AaronCRdz,8,"The game that look as a war game, but isn´t about war! Great game to play with friends that are always looking a way to attack you! perfect to start everything as friend trying to get your cards your factory and then using your mechs to attack the others, so fun to play with good friends."
aaronph,9,"Great game, surprisingly quick to learn considering how complicated it seemed at the outset. The mechanics are rich and intuitive. Played with my friend who has a collector's edition.  I am jealous.  All 4 players enjoyed the experience and the end was close enough to come down to a tiebreaker."
AaronTargon,9,"This is not a mech combat game. It is a resource control euro. As long as you go into the game with that mindset, it will be fun."
Aaron_Dangerman,7,"How could you say no to the theme of 1920s Europe with giant robots?? The gorgeous art is also a major plus! However, I feel like it takes a long time to make those big-swinging moves. By the time you feel like you've made progress, the game is almost over."
Aaxor,10,Man this game is amazing.
ab999,9,"Excellent game.  Really enjoy it.  I play it a bit more tactically than strategically after less than 10 plays, but expect to ""graduate"" soon as I learn the different capabilities of the factions and player boards.  Looks more daunting than it is.  Rules fairly simple to remember and implement.  Your choices are a delicate balance. To me, it lives up to the hype."
abachniv,10,"All of the fun of a deep Euro-style game with none of the tediousness. Theme out the ass, every turn feeling valuable, and never a moment when anyone felt like they were potentially out of the game. Wonderful, wonderful. Lives up to all the hype and more."
AbacoBilbao,N/A,3700807402829 [Abaco][x] [Estante][F5] [M000218]
ABaroness,8,"Can feel bloated at times, but always willing to play a game."
AbbyP,8.7,I love the way this game uses the personal player boards to create multiple levels of asymmetricality.
Abcdefgames,9,"When I purchased this game, I knew I was deep into board gaming. None of my other homeschool mom friends will play this with me, but thankfully my husband and I enjoy it together. This game is near perfect."
Abdul,5,"Takes way too long for what it is. The first half is a slog as everyone is stuck in their corner of the map playing solitaire. The second half might have a little combat, but mostly involves players avoiding each other. Art is lovely, and I admire the attempt to make a Euro-Ameritrash hybrid, but I don't think it succeeds and just leaves me bored."
Aberdeen1977,8,21-12-2017 (209) 
Abiezer Coppe,3,"Beautiful artwork, nice setting, but despite first impressions contains almost no direct conflict. If that's your thing, you'll like this.  If not, steer well clear."
ablehat,7.5,"Wonderful action selection mechanism, big sprawling map, lots of paths to victory, slight optimisation mistakes that give you that rising sense of FOMO while everybody else is having their turn. Kind of a slog to teach, can make the first game quite a lot longer than advertised on the box. On repeat plays, I'm starting to see how thin the resource management is - if you push hard to place all of your mechs early game, iron will be meaningless to you until end-game scoring.  Certainly enjoyable to play, started off as being regular to hit the table, but doesn't maintain that quality."
ABrissey,9,"Excellent ""4X"" game, although the eXterminate is really missing from the game but that doesn't detract from the game in anyway. The euro game style economy and action resolution is perfect. Combat is quick and simple, but still contains a good level of strategy. Components are fantastic, especially the wonderfully sculpted mechs and characters. Art is spectacular and brings the whole thing together."
absolutleo,9,"Maybe the best game ever made, but I can't get it to the table as often as I like."
abssalom,7,Sensaciones muy encontradas con este juego al que me gustaría haber jugado más de lo que jugué. Una partida me encantó y la otra la aborrecí.
Abstractite,10,This could easily become my favorite game. Very few games have occupied my mind long after playing it---this did it like no other. I'm a big fan of strategic games that are relatively simple for the rich experience they provide. Scythe is special.
Absurdcleric0,9,"By far my most played game. Very fun and art is wonderful. Probably my favorite engine building game, it’s kind of the reverse of Root where Root is mostly area control with some engine building, Scyhte is more engine building and less area control. Over time, I’ve begun to appreciate Root more due to its greater asymmetry between factions, but I do enjoy Scythe still and will happily play it any time."
AbsZero,8,$85 Rise of Fenris and Invaders from Afar
Abysmul,9,"Invaders from Afar & The Wind Gambit. Beautiful, thematic, and more importantly such a pleasure to play each time. With the varied setup each game it is always different enough to always wonder what each game will turn into."
AbyssinianSon,9.5,I've only played the base game of this and I had heard a lot of hype going into it. Surely it couldn't be that good. For me..... it was. This game helped me discover what type of gamer I am as it balances a solitaire component with interacting without being too aggressive or stressful. In my game group its always hard to get people to play ultra confrontational games but this has been one of the few that everyone can always play.
acaldeira99,N/A,2-7 Players
Acama,9,"Really great game, with wonderful production quality.  Always fun to play.  Looks like a war game, but battles are definitely a very minor part of the game."
acark,5,"Un juego muy bueno en cuanto a ilustraciones, mecánicas, componentes... intachable. Le pongo poca nota porque no termino de pasarlo bien con este juego a medio camino entre un wargame y un euro, no soy muy fan."
Accatitippi,4,"My second play had me looking forward to the next game. That is, I was thinking: ""let this game end so that we can play something fun!"" It's balanced and works fine. Just severely lacking in the fun department. It's like they took Ameritrash, and took out the part about emerging epic storytelling and dramatic and memorable events. Then they took euros and took away the part about solving pressing problems in creative ways. Not sure about what is left to like."
acciodragons,N/A,Plays 1-5
acegravity,10,So much replayability! Only take 2 hours if your group knows what they are doing. 
ACEL13,8,"The artwork and figures are fantastic. The minis look even better when painted by a steady hand.  The one glaring flaw about this game is its fixed board state. It can get figured out in the same way you can figure out chess. Once you know what faction you are, you immediately know how you're going to win. The secret agendas and tech cards have very little impact in changing the game up.  Fortunately, a modular board was designed. It's not as variable as Catan or Twilight Imperium, but it does the job."
Acenchious,7,Professor Alexander äger
AceOf86,9,There a a few things about this game that hold it back from a 10. Like when you get a bad faction/player mat combo.
aceuaboy,9,"Originally excited by the production value of the pieces and steampunk time period of the setting. The overall complexity of the game makes this one difficult to find people to play with you, let alone play enough times to go through the whole Fenris expansion."
Ace_Armada,9,"Great worker placement game, very well balanced. Altough this will heavily depend on the people you play with, there is room to turtle up and not interacting muhch (fighting) and this makes the game a bit more boring. Played a couple times, always had great fun!"
ACGalaga,9,"It's a game that can easily accessed and appeals to a wide variety of people. I always enjoy seeing different strategies unfold and discussing them after were finished. Also, the art and components are amazing. Always a pleasure busting it out."
acharland,10," learning? Medium Teaching? Medium easy Easy to play? after 2 game, more Easy Variety: High Interaction: Medium Components: Very good Excitement: High Planning: Medium-High Clever Combos and Moves: High Luck: Medium Comment:"
achilleasa,N/A,+ Invaders from afar
Achimobilkgames,N/A,1 to 5 Players
Achire,9,"9/25/20: A game I've enjoyed a great deal, although I'm now a little burned out on it. Highly recommend playing through the Fenris campaign. Enjoyed it greatly, but it did make me feel that I've 'completed' my Scythe experience. I'll likely return to it at a later date. 3/5/17: Plays very differently depending on the combination you get & maximizing your combo's potential is essential. I haven't played enough to know whether all combos are well-balanced. Fun, tense game that provides a variety of paths to victory. Beautiful design & components. Excellent streamlined engine-building gameplay. Things that keep it from being a ten: some fiddly rules that feel like they could have been streamlined, a little low on interaction for a game with combat, and finally: the encounter cards not coming with thematic intro text to describe the situation  and doing mostly the same thing. The encounter part could easily be fixed in a mini-expansion, and that alone would probably be enough to push it up to a 10."
acooper1004,7,"too wargame for my wife, seemed ok though"
acorax,N/A,1-5 player
acselros,7.8,BOX 3
Action Andy,9,"All main figures painted, plus board extension, metal coins and resource tokens"
ActionExpress,N/A,A
AdamCarney,8,Awesome concept stunningly executed
AdamCarr,9,The art is gorgeous. I love the player boards and macanics of the game.
AdamCatant,9,Most peaceful war game ever.
adamgrey,8,Might be the best Stonemaier game. I like the end condition although I would like a faster way to play it
adammale,10,"Scythe is the most anticipated game of the year 2016. Fun fact: scythe is used for both farming and war. Personally for me Scythe is an alternative to Terra Mystica, both are great games.  Mechanism and Heaviness: It's basically an action-selection game with resource management and engine building. Solid mechanic. Multiple paths to victory. Very similar to The Gallerist, each turn you choose 1 out of 4 sections with 2 actions available. You can do the top-row action, or bottom-row action, or both (top-row first), or neither. In summary: move, produce, bolster power/ popularity, build structures, deploy mechs, upgrade & enlist recruits. There's no rounds or phases. It's medium heavy. It's thinky. If you like thinky Euro games like Terra Mystica, you'll like this game. Straightforward and intuitive gameplay. The depth of the game relies on the strategies players apply during the game. Almost no downtime, the turns can go very fast between players as resources are limited. Clear iconography.  Theme It's alternate-history Eastern Europa circa 1920s. Building your small empire on the map. The factions, the miniatures and encounter cards gives more thematic feeling. The encounters provide more options to get more resources, and if you spend more time to read the flavor text on the encounter cards, you get to immerse yourself into the worldbuilding, similar like Arkham Horror game. Can be retheme as Game of Thrones or Lord of the Rings if you want.  Components and Setup The components are superb and top notch, so many different shapes of tokens, different types of cards, the character and mech miniatures looks great on the board! The setup feels very much like Terra Mystica with starting resources (military, combat cards, objective cards, popularity, money) and units + buildings on personal player boards. Wooden token management on the mats like in Terra Mystica and Eclipse. There are several decks like combat, encounter, objective (just need to complete one per game) and factory cards (extra action space, gained when visited The Factory for the 1st time).   Factions and Replayability Well-balanced asymmetry faction and mech abilities like in Terra Mystica. 3 out of 4 mech abilities are to improve mechs' and character's movement, while the other 1 is to improve combat. Variability created by random pairings of faction mat and player mat for each player. Terra Mystica base game has 14 different factions, with Fire and Ice expansion has another 6 factions (10 different coloured boards), Scythe base game has 5 faction boards and 5 player boards, with 25 different combinations. With the Invaders from Afar expansion, there's gonna be 49 combinations! The replayability is high. Different faction, different starting available terrains, different strategies. You've got to adapt to your surrounding.  Actions TOP: move/ gain money (by moving, there can be combat/ encounter/ factory), bolster military power/ gain combat cards, trade resources/ gain popularity or produce on tiles (different tile different resource, resources stay on board with worker: wood, oil, metal, food or worker); BOTTOM (pay with resources): upgrade (move cube from top row to bottom row for discount), deploy mechs (special faction abilities), build structures (mine/ monument/ armory/ mill) or enlist recruits (1-time bonus and unlock action-reaction). Dual benefits of the upgrade system - increase top-row action benefit and decrease bottom-row action cost. Some small reminders: mechs share abilities with character, not workers, which include riverwalk; mech and workers can transport resources; mill is an extra territory for production; enlist ongoing bonus include activation from active player and immediate neighbours.  Combat Threat of combat is constant, but not mandatory. Deterministic combat systemu sing power dial and combat cards like in Dune/ Rex (also Game of Thrones, Forbidden Stars, Cosmic Encounters). Add numbers on power dial (up to military power to spend) and numbers on combat cards (2 - 5, depend on number of units on tile except worker). The combat resolved fast, unlike those other games. Sometimes a game can be without combat. Each faction need only to win 2 combats to put 2 achievement stars on triumph track except the Saxony. Combat will lower attacker's popularity if there is any retreating workers from the opposition faction. There are no units/ structures destroyed, only retreating to home base.  Endgame Endgame condition triggers when 1 player put 6 stars on the triumph track after fulfilling various requirements. The stars will come out very fast towards the end of the game. Unique endgame condition, very similar to console gaming with the achievement stars on triumph track. Most money win - popularity (love) reminiscent to Euphoria's morale track affect how much money collected for each stars, territories controlled (The Factory counts as 3 territories) and resources controlled. Plus random structure bonus scoring tile.     Solo Variant - Automa There are 4 levels of difficulty, Autometta for easy, Automa for normal, Automaszyna for hard and Ultimaszyna for hardcore. The Automa cards make the solo variant plays very smoothly. Mostly the Automa units would aim to reach The Factory. The solo variant is as good as The Gallerist's.   Final Thoughts Scythe is a keeper. Fans of Terra Mystica, The Gallerist, Eclipse and Game of Thrones will be at home with this game, with extra ability to play solo. Reputable designer of Viticulture and Euphoria fame. Watch Rodney's Watch It Played video before playing the game really helps you understand how the game flows.   Expansion The expansion with extra 2 factions is a must, the board just scream for epic 7-players game! With the base game, it's War of the Five Kings, with the expansion, it's gonna be Battle of the Seven Kingdoms! "
adammurgs,10,Includes Scythe Invaders from Afar Expansion 
adamredwoods,5,"3 plays / 5,6,7 players  LIKE: So many powers to explore, and a lot of different setup combinations. Having the two board combo was interesting. Beautiful art and highly produced bits. The war tension was fun and not overly threatening (except at the end). Very similar to Antike.  DISLIKE: In higher player counts, I felt the mid-game stalled and I became bored. Some player powers feel better than others. The encounter cards were boring. The player boards are fiddly. The theme did not add anything for me. Turn-order feels off, because ending the game early denies other equal turns.  OVERALL: This game plays very similar to Antike, but Antike plays faster and feels streamlined. Scythe does have its fun moments, but it also had moments where my turn didn't feel that interesting, so it would drag a little. I'd rather play Terra Mystica, or Viticulture-- Scythe relies too much on its theme to elevate it above the hordes of modern games.  Played again, and my thoughts are the same. Not sure why people like the game so much, but maybe the game is better with 4 players."
adamsalem,N/A,Box 6
adamscott,9,"This game really lived up to the hype for me.  Sure the artwork is great and the theme integration is well done, but it is the gameplay that stood out.  It's definitely more of an efficiency Euro than a dudes on a map game, but I like having the option of attacking if necessary."
